iter	Passed	Remaining
155	334	1808
156	335	1801
157	336	1794
158	337	1787
159	339	1781
160	340	1775
161	341	1769
162	343	1763
163	344	1756
164	347	1757
165	349	1753
166	350	1748
167	351	1740
168	352	1733
169	353	1726
170	355	1721
171	356	1714
172	357	1708
173	358	1703
174	360	1698
175	361	1692
176	363	1688
177	365	1689
178	368	1688
179	369	1682
180	370	1676
181	371	1670
182	372	1665
183	374	1659
184	375	1654
185	376	1648
186	378	1643
187	379	1638
188	384	1651
189	386	1648
190	388	1644
191	389	1639
192	391	1635
193	392	1630
194	393	1626
195	396	1625
196	397	1622
197	399	1617
198	400	1613
199	402	1610
200	404	1606
201	405	1602
202	407	1598
203	408	1594
204	411	1595
205	412	1590
206	413	1585
207	415	1581
208	416	1576
209	417	1571
210	418	1566
211	419	1561
212	421	1555
213	422	1550
214	423	1545
215	425	1544
216	426	1539
217	427	1534
218	429	1529
219	430	1525
220	431	1521
221	433	1517
222	434	1512
223	435	1508
224	436	1504
225	438	1502
226	439	1498
227	441	1493
228	443	1493
229	445	1490
230	446	1485
231	447	1481
232	448	1477
233	450	1474
234	452	1472
235	454	1471
236	455	1466
237	456	1462
238	457	1458
239	459	1453
240	460	1450
241	461	1446
242	463	1442
243	464	1438
244	465	1434
245	467	1433
246	469	1432
247	472	1434
248	474	1430
249	475	1427
250	476	1423
251	478	1419
252	479	1415
253	480	1411
254	483	1412
255	484	1408
256	486	1405
257	487	1401
258	488	1398
259	490	1394
260	491	1392
261	493	1389
262	494	1386
263	496	1382
264	497	1379
265	499	1377
266	500	1374
267	502	1373
268	504	1371
269	506	1369
270	507	1366
271	509	1362
272	510	1359
273	512	1357
274	514	1357
275	516	1354
276	517	1351
277	519	1348
278	520	1345
279	522	1343
280	524	1340
281	525	1338
282	527	1335
283	529	1334
284	531	1333
285	532	1330
286	534	1328
287	535	1325
288	537	1322
289	538	1318
290	540	1316
291	541	1313
292	543	1311
293	545	1308
294	546	1306
295	547	1302
296	549	1300
297	551	1298
298	552	1296
299	554	1293
300	556	1291
301	557	1289
302	559	1286
303	561	1285
304	563	1283
305	566	1283
306	568	1282
307	569	1279
308	570	1276
309	572	1274
310	574	1272
311	576	1271
312	578	1269
313	579	1266
314	580	1263
315	582	1260
316	584	1258
317	585	1255
318	587	1253
319	588	1250
320	590	1248
321	591	1246
322	593	1243
323	594	1240
324	597	1240
325	598	1237
326	599	1234
327	601	1231
328	602	1228
329	603	1226
330	605	1223
331	607	1222
332	609	1220
333	610	1217
334	611	1213
335	612	1211
336	614	1208
337	615	1205
338	616	1202
339	618	1199
340	619	1197
341	621	1195
342	623	1193
343	624	1191
344	625	1188
345	627	1185
346	628	1182
347	629	1179
348	631	1177
349	632	1174
350	633	1172
351	635	1169
352	636	1167
353	638	1165
354	640	1163
355	641	1160
356	646	1164
357	648	1162
358	650	1160
359	651	1158
360	653	1157
361	655	1155
362	656	1152
363	658	1149
364	659	1147
365	660	1144
366	662	1142
367	663	1139
368	665	1137
369	666	1134
370	667	1132
371	669	1129
372	671	1128
373	672	1126
374	674	1123
375	675	1120
376	677	1118
377	678	1116
378	679	1113
379	680	1110
380	682	1108
381	683	1106
382	685	1104
383	687	1102
384	688	1099
385	689	1097
386	691	1094
387	692	1091
388	693	1089
389	695	1087
390	696	1084
391	697	1081
392	698	1079
393	700	1077
394	702	1075
395	703	1073
396	704	1070
397	706	1068
398	707	1065
399	709	1063
400	710	1061
401	711	1058
402	713	1056
403	714	1054
404	716	1052
405	718	1050
406	719	1048
407	720	1045
408	722	1044
409	724	1042
410	726	1041
411	727	1038
412	729	1036
413	732	1037
414	734	1035
415	735	1032
416	737	1030
417	738	1028
418	740	1026
419	741	1024
420	743	1022
421	745	1020
422	746	1018
423	748	1016
424	750	1015
425	752	1013
426	753	1011
427	755	1009
428	756	1006
429	757	1004
430	759	1002
431	761	1000
432	762	998
433	764	997
434	766	995
435	769	995
436	771	993
437	772	991
438	774	989
439	775	987
440	777	985
441	780	985
442	781	982
443	782	980
444	784	978
445	786	976
446	787	974
447	788	971
448	790	969
449	791	967
450	792	965
451	794	963
452	796	961
453	797	959
454	799	957
455	800	954
456	801	952
457	803	950
458	805	948
459	806	946
460	807	944
461	809	942
462	812	942
463	813	939
464	814	937
465	815	934
466	817	932
467	818	930
468	820	928
469	821	926
470	822	923
471	824	921
472	825	919
473	828	919
474	830	917
475	831	915
476	832	913
477	834	911
478	836	909
479	837	907
480	839	905
481	840	903
482	844	903
483	845	901
484	847	899
485	848	897
486	850	895
487	851	893
488	852	891
489	854	888
490	855	886
491	856	884
492	858	883
493	861	881
494	862	879
495	863	877
496	865	876
497	867	874
498	868	872
499	870	870
500	874	871
501	877	870
502	879	868
503	881	867
504	882	865
505	884	863
506	885	860
507	886	858
508	888	856
509	889	854
510	891	853
511	893	851
512	895	849
513	896	847
514	897	845
515	899	843
516	902	843
517	904	841
518	906	839
519	907	838
520	910	837
521	912	835
522	914	833
523	915	831
524	917	830
525	919	828
526	920	826
527	923	825
528	926	824
529	927	822
530	929	820
531	931	819
532	932	817
533	934	815
534	936	813
535	939	813
536	942	812
537	943	810
538	945	808
539	947	807
540	948	805
541	950	803
542	952	801
543	954	800
544	956	798
545	958	797
546	960	795
547	961	793
548	964	792
549	965	790
550	967	788
551	969	786
552	971	785
553	972	783
554	974	781
555	976	779
556	978	777
557	979	776
558	981	774
559	983	772
560	985	771
561	987	769
562	989	767
563	990	766
564	992	764
565	994	762
566	996	761
567	998	759
568	1000	757
569	1002	756
570	1004	754
571	1005	752
572	1007	751
573	1010	749
574	1012	748
575	1016	748
576	1018	746
577	1020	745
578	1022	743
579	1024	742
580	1027	741
581	1029	739
582	1033	739
583	1036	738
584	1038	737
585	1041	736
586	1043	734
587	1045	732
588	1049	732
589	1051	730
590	1053	729
591	1056	728
592	1059	727
593	1061	725
594	1064	724
595	1066	723
596	1068	721
597	1071	720
598	1074	719
599	1076	717
600	1079	716
601	1082	715
602	1084	714
603	1087	712
604	1090	711
605	1094	711
606	1096	709
607	1098	708
608	1101	707
609	1104	706
610	1109	706
611	1111	704
612	1114	703
613	1116	701
614	1119	700
615	1123	700
616	1125	698
617	1128	697
618	1132	696
619	1134	695
620	1136	693
621	1139	692
622	1141	690
623	1143	689
624	1146	688
625	1149	686
626	1152	685
627	1154	683
628	1157	682
629	1159	681
630	1162	679
631	1164	677
632	1166	676
633	1169	674
634	1171	673
635	1173	671
636	1175	669
637	1177	668
638	1179	666
639	1181	664
640	1184	663
641	1185	661
642	1187	659
643	1189	657
644	1191	655
645	1192	653
646	1194	651
647	1196	649
648	1197	647
649	1199	645
650	1200	643
651	1202	641
652	1203	639
653	1205	637
654	1206	635
655	1207	633
656	1209	631
657	1211	629
658	1214	628
659	1215	626
660	1216	624
661	1218	621
662	1219	619
663	1220	617
664	1221	615
665	1223	613
666	1224	611
667	1226	609
668	1227	607
669	1230	605
670	1232	604
671	1233	602
672	1235	600
673	1236	598
674	1238	596
675	1239	594
676	1242	592
677	1243	590
678	1244	588
679	1245	586
680	1247	584
681	1248	582
682	1250	580
683	1252	578
684	1253	576
685	1256	575
686	1258	573
687	1259	571
688	1260	569
689	1261	566
690	1263	564
691	1264	562
692	1265	560
693	1267	558
694	1268	556
695	1270	555
696	1272	553
697	1273	550
698	1274	548
699	1275	546
700	1277	544
701	1278	542
702	1280	540
703	1281	538
704	1282	536
705	1284	534
706	1285	532
707	1286	530
708	1288	528
709	1291	527
710	1292	525
711	1294	523
712	1295	521
713	1297	519
714	1299	517
715	1300	515
716	1301	513
717	1302	511
718	1303	509
719	1304	507
720	1305	505
721	1307	503
722	1308	501
723	1309	499
724	1310	497
725	1312	495
726	1313	493
727	1314	491
728	1317	489
729	1319	488
730	1321	486
731	1322	484
732	1323	482
733	1325	480
734	1326	478
735	1327	476
736	1329	474
737	1330	472
738	1332	470
739	1333	468
740	1334	466
741	1335	464
742	1337	462
743	1338	460
744	1339	458
745	1341	456
746	1342	454
747	1343	452
748	1344	450
749	1346	448
750	1348	447
751	1350	445
752	1351	443
753	1352	441
754	1353	439
755	1354	437
756	1356	435
757	1357	433
758	1358	431
759	1360	429
760	1361	427
761	1362	425
762	1364	423
763	1365	421
764	1366	419
765	1369	418
766	1370	416
767	1372	414
768	1373	412
769	1374	410
770	1375	408
771	1377	406
772	1378	404
773	1380	402
774	1381	401
775	1382	399
776	1383	397
777	1384	395
778	1386	393
779	1387	391
780	1388	389
781	1389	387
782	1391	385
783	1392	383
784	1394	381
785	1396	380
786	1397	378
787	1398	376
788	1399	374
789	1400	372
790	1402	370
791	1403	368
792	1404	366
793	1405	364
794	1407	362
795	1408	360
796	1409	359
797	1410	357
798	1413	355
799	1414	353
800	1416	351
801	1417	350
802	1419	348
803	1420	346
804	1421	344
805	1423	342
806	1424	340
807	1426	338
808	1427	337
809	1429	335
810	1430	333
811	1431	331
812	1432	329
813	1434	327
814	1435	325
815	1436	323
816	1438	322
817	1439	320
818	1442	318
819	1444	316
820	1445	315
821	1446	313
822	1447	311
823	1450	309
824	1451	307
825	1453	306
826	1455	304
827	1456	302
828	1459	301
829	1460	299
830	1462	297
831	1463	295
832	1465	293
833	1466	291
834	1467	290
835	1469	288
836	1470	286
837	1472	284
838	1474	282
839	1475	281
840	1476	279
841	1477	277
842	1478	275
843	1480	273
844	1481	271
845	1482	269
846	1484	268
847	1485	266
848	1488	264
849	1489	262
850	1491	261
851	1492	259
852	1493	257
853	1494	255
854	1496	253
855	1497	251
856	1498	250
857	1500	248
858	1501	246
859	1502	244
860	1503	242
861	1505	241
862	1507	239
863	1509	237
864	1511	235
865	1512	234
866	1513	232
867	1515	230
868	1516	228
869	1518	226
870	1520	225
871	1522	223
872	1523	221
873	1524	219
874	1526	218
875	1527	216
876	1528	214
877	1529	212
878	1531	210
879	1532	208
880	1534	207
881	1535	205
882	1537	203
883	1538	201
884	1539	200
885	1540	198
886	1541	196
887	1543	194
888	1544	192
889	1545	191
890	1546	189
891	1548	187
892	1549	185
893	1550	183
894	1553	182
895	1554	180
896	1555	178
897	1556	176
898	1558	175
899	1561	173
900	1562	171
901	1564	169
902	1565	168
903	1568	166
904	1569	164
905	1570	162
906	1571	161
907	1573	159
908	1574	157
909	1575	155
910	1576	154
911	1578	152
912	1579	150
913	1581	148
914	1582	147
915	1584	145
916	1585	143
917	1586	141
918	1587	139
919	1588	138
920	1589	136
921	1591	134
922	1592	132
923	1593	131
924	1594	129
925	1596	127
926	1597	125
927	1598	124
928	1600	122
929	1602	120
930	1603	118
931	1604	117
932	1606	115
933	1607	113
934	1608	111
935	1610	110
936	1611	108
937	1613	106
938	1614	104
939	1616	103
940	1617	101
941	1618	99
942	1619	97
943	1621	96
944	1622	94
945	1623	92
946	1625	90
947	1626	89
948	1628	87
949	1629	85
950	1630	84
951	1632	82
952	1633	80
953	1634	78
954	1635	77
955	1637	75
956	1638	73
957	1639	71
958	1640	70
959	1642	68
960	1643	66
961	1644	64
962	1646	63
963	1647	61
964	1648	59
965	1649	58
966	1650	56
967	1651	54
968	1653	52
969	1654	51
970	1655	49
971	1657	47
972	1658	46
973	1659	44
974	1662	42
975	1663	40
976	1664	39
977	1665	37
978	1666	35
979	1667	34
980	1669	32
981	1670	30
982	1671	28
983	1673	27
984	1674	25
985	1676	23
986	1678	22
987	1679	20
988	1680	18
989	1681	16
990	1682	15
991	1683	13
992	1685	11
993	1686	10
994	1687	8
995	1688	6
996	1690	5
997	1691	3
998	1695	1
999	1696	0
